DATE	SE0012221716	NO0010234552	NO0010345853	NO0010716582	SE0000695876	SE0000382335	DK0060946788	FIK009000285	SE0007100581	SE0011166610	SE0011166628	NO0010073489	SE0006993770	SE0009895292	FO0000000179	SE0000455057	DK0015998017	SE0012454379	SE0000862997	SE0012455673	BMG1738J1247	DK0010181759	SE0000379190	DK0060227585	DK0060448595	DK0010274414	DEXNDERINDEX	DK0060738599	DK0060655629	NO0010031479	NO0003921009	SE0007691613	DK0060079531	SE0000163628	FI0009007884	SE0000103814	NO0010096985	SE0000108656	SE0011166974	SE0008374250	DK0010234467	FIK009007132	SE0000202624	NO0010582521	DK0010272632	BMG396372051	NO0010365521	SE0000103699	SE0000106270	FIK009000459	SE0001662230	SE0000652216	SE0000107203	SE0000936478	SE0000107401	SE0000107419	DK0060542181	SE0000806994	DK0010307958	FIK009005870	FIK009000202	SE0007871645	SE0013256682	FI0009013403	SE0002683557	NO0003096208	DK0010287234	DK0010244425	DK0010244508	FIK009000665	FI0009007835	NO0003054108	SE0000412371	NO0010196140	SE0000117970	SEN000297767	NO0010081235	FI0009013296	NO0005052605	SE0008321293	FIK009000681	SE0009000681	SE0000109811	DK0060534915	DK0060336014	NO0018856372	SE0018892317	SE0004270494	SE0011452051	DK0060368991	DK0060775369	SE0002209304	SE0002947515	SE0002402800	CH0256424794	NO0003733800	FI0009014377	DK0060094928	FI0009014575	FIK009002422	NO0010199151	DK0060252690	DK0060634707	DK0010219153	SE0000112385	NO0010310956	FIK009003305	SE0000667891	SESE03366871	SE0000112724	NO0003028904	SE0000148884	SE0000163594	SE0007100599	DK0060495240	SE0000113250	SE0000108227	SE0000872095	USUNDERINDEX	SE0000171100	SE0000120669	NO0003053605	SE0009007611	FIK009005961	DK0060696300	NO0075646355	SE0000242455	SE0000310336	EU0001836572	DK0010311471	NO0010063308	SE0005190238	SE0000667925	FI0000667925	NO0003078800	SE0000114837	DK0060636678	FIE009005318	FIK009005987	FI4000074984	SE0000115446	DK0010268606	FIK009003727	NO0010208051	FIK009800643
2019-05-15	125.76064643814001	400.31250084	199.92750041952	29.447750061791997	144.69757775508	477.2384156064	129.15	299.52581326253807	135.33316116978	189.78550946208003	173.41512195	70.87437514872	127.25201648691	504.6380048745	343.73500072128	214.3410907302	136.05	41.813854204584004	83.27394156039	157.56497980377	35.624000074752	880.0	123.4715668284	705.8	701.0	106.5	90399.93874724388	217.4	268.6	116.54812524456	12.886250027039999	60.292969599576004	592.2	74.67255151167001	289.66365128931403	153.50706595014	139.156250292	61.305713911763995	97.32056643834001	12.860465443812	282.5	141.69386501681302	92.49962604813	130.27312527336	324.0	34.54125007248	83.1125001744	329.00316936354	109.5983570724	252.15755045175	59.127619980072	258.66599590062	140.60498087706	167.1721775598	298.9676702418	300.28562516861996	214.1	125.72596341375	253.6	247.82417625139405	343.6814020972	50.42911746306	145.3218721941	364.82527966100605	216.83826848628001	44.97225009436799	266.3	7420.0	7838.0	33.098013288926	230.042399360278	152.8812503208	81.8519375604	26.84000005632	106.13005463340001	50.158589872818	6.267750013152	222.49635118379604	24.430500051263998	87.95614985304	31.622424660356504	31.651728058314003	321.8584663392	313.0	321.0	608.2081262762399	1105.2231284214959	36.431048819256006	1088.027284928934	1098.92	1103.92	134.32735346247	628.391501318592	188.724208915746	120.73160790159001	57.523000120704	216.444569972954	515.0	27.023818073599404	20.7404254830832	13.03875002736	253.4	491.6	1744.0	196.93021248641998	308.50750064736	293.77288544482406	111.85275365775	11.54944712187	53.259252253284004	167.90250035231998	62.027120819076	114.1071502431	70.30249043853	633.0	112.44236507238	109.80645521874001	118.44252829185	19046.693568	22.259565053502	19.582035570594	50.721500106431996	76.9963141458	77.02946207874201	74.2	81.968750172	99.92179326759	318.45952994898	25296.296034623	124.2	131.11187527511998	86.84629307256	27.996137287608	27.9950916012654	182.84750038368	96.17602663347	204.8	192.90986526412402	175.65108181098202	170.64528747608801	98.29169112125999	551.2	101.98372040493001	272.82250057248	38.21587764624301
2019-05-16	128.61247313776	419.22080251619997	206.62144124015998	30.004560180089996	147.9182331444	475.0050303792	124.6	298.744436284	137.57090134228	196.11318798111998	178.89078337088	72.76968043676999	127.46662766974	509.31094923992	347.02592208287996	221.53012381719998	135.95	42.06988997130399	84.09811283468	157.74472609742	37.170400223099996	881.4	125.31382709345999	715.2	716.4	108.5	91941.36365243664	227.0	271.2	119.52008071736998	13.185912079142996	61.264537690135995	595.2	76.45914304787999	293.740466976243	154.72386077264	141.01760084639997	62.681219359688	99.72327830767999	12.5001323784	292.6	144.069504397959	92.91765067944	134.31160080614998	337.0	35.438336212703994	87.52288052531999	335.21188328076	111.04284262812	255.42649302282004	59.79229987667999	260.7666504494	143.12651573268	166.80732207175998	305.28101075248	305.558791472	218.0	127.67496320938	252.9	250.19846538785	345.79668499873	50.694981312399996	145.4876518486	382.840995097946	216.53007086584	46.59712027967999	267.9	7575.0	7982.0	34.0120540709334	236.30684910064403	154.8128009292	81.52864117912	30.694320184229994	107.11918996489999	50.500534808736	6.36112003818	229.65978539332502	25.75104015456	90.90374046292	32.91790257304325	32.986460443	334.30909594231997	313.3	323.0	624.3247717472519	1121.8014633901475	36.472608472976	1104.6089202072558	1112.39	1117.93	136.411166838284	644.8412998703939	191.55063966300398	119.86238047287999	57.43401634472399	218.382182923604	522.4	27.708546465341	21.0390769253007	13.454152080752998	252.7	495.2	1804.0	201.39102165199998	311.23504186805997	297.02665577536703	114.51510162212	11.687623773803999	54.222796450303996	165.92560099589997	62.195103100528	114.65399198187998	70.72991570778	637.0	112.5011914056	111.28590075769999	121.49434220005999	19171.823328000002	22.507182799107998	19.902988553607997	52.16118431307599	77.91749182536	77.6362103793045	76.35	85.49192051312998	100.79967859582	319.65616298764	25681.266720717776	123.8	134.50320080729998	88.542604347	28.229465621219997	28.216412007023802	187.69136112654	97.39686478169999	211.2	193.06359194853502	177.902311807122	173.570517481004	99.34132981834	559.0	103.66431939054802	281.65200169049996	38.762090607849004
2019-05-17	128.25568029551997	419.22080251619997	206.62144124015998	30.004560180089996	146.17120033679998	465.1091210716799	124.6	298.794659078771	136.31072031408	193.66816044623997	176.37760040639998	72.76968043676999	129.1584002976	507.1203211684799	347.02592208287996	221.23584050975998	135.95	41.316800095199994	84.85568019552	157.73296036344	37.170400223099996	881.4	124.61008028711998	715.2	716.4	108.5	91400.39752025828	227.0	271.2	119.52008071736998	13.185912079142996	60.662784139775994	595.2	74.9952001728	295.434059314076	154.78176035663998	141.01760084639997	62.982080145119994	98.43120022679999	10.815280024919998	292.6	143.609629944633	92.18160021239999	134.31160080614998	337.0	35.438336212703994	87.52288052531999	335.32576077263997	111.10400025599999	258.467461902431	59.32953613670399	263.03872060608	142.14368032751997	164.29504037855997	303.31392069888	304.70272070208	218.0	128.67232029648	252.9	246.89206271292602	353.385735256372	51.274496118144	145.47680033519998	383.40709315431405	213.31968049151996	46.59712027967999	267.9	7575.0	7982.0	33.979397620805	233.673703638459	154.8128009292	81.69616018824	30.694320184229994	105.34048024271998	50.080128115392	6.36112003818	237.70642335609298	25.75104015456	90.48032020848	33.1877896762324	33.136768076352	330.81216076223996	313.3	323.0	624.3247717472519	1115.801503370971	36.469888084032	1098.408866530896	1112.39	1117.93	135.57465631238398	644.8412998703939	190.52947243900798	118.98544027415998	57.43401634472399	219.708544616282	522.4	27.034158107102	21.0672265248991	13.454152080752998	252.7	495.2	1804.0	198.39008045711998	311.23504186805997	294.836619355908	112.90944026015998	11.575648026672	54.468736125503995	165.92560099589997	61.96825614278399	111.972000258	70.27328016192	637.0	111.90256025784	110.06240025359999	121.24224027935999	19059.911262	22.186080051119998	19.533472045007997	52.16118431307599	77.98112017967999	77.816554551382	76.35	85.49192051312998	99.99360023039999	321.92384074176	25582.677728732844	123.8	134.50320080729998	88.84848020471999	28.331520065279996	28.2887820192548	187.69136112654	95.86192022088	211.2	193.04778648303503	177.140947596812	176.09542767001798	98.29232022648	559.0	103.133072778751	281.65200169049996	38.684237291378
2019-05-20	126.32102620219	415.12680370260006	206.07672183804004	29.116056259692	145.01085138006	450.35890428604	120.0	298.873355684844	135.09380128568	188.84005179718	171.50255163218	72.54236064702002	130.62072624311	503.06490478764	343.38496306272003	219.42340208823998	133.5	40.9165003894	82.24910078276	157.52852649919	36.778176328032	880.0	124.58727618569	713.6	714.0	110.7	89925.55594888444	227.7	265.8	117.48584104788002	13.197144117708001	59.862920569711996	595.0	73.92710070356	298.873355684844	154.23440146784	140.16724125018	63.982310608916	98.75440093984	10.15977509669	284.2	142.64070698602	91.5420008712	132.20016117912002	326.7	34.673952309264	90.42064080648001	325.945003102	107.783771025772	251.376240688452	58.309480554928	262.42040249743997	139.11610132396	161.65485153846	299.5920028512	301.60315287033995	212.9	126.42505120318	248.2	240.09940992672998	352.046226561308	50.334230479028	145.2882513827	383.86033188908	215.26240204863998	45.881232409224005	269.0	7200.0	7616.0	33.0538099015772	228.374493174476	157.81680140760002	80.23795076362	29.1618002601	104.85720099791999	49.425745470382	6.369852056814001	238.23238496617998	25.487032227324004	87.76242583523	33.5467044911624	33.648620320232	326.08370310332	316.9	320.0	623.536469561448	1101.9014669867333	36.422620346632	1084.7241653232581	1104.94	1108.78	133.748411272876	643.869677742804	188.153486790646	117.30552611639	57.56120051340001	217.32170540802002	528.0	26.063668449278	20.350572069995	13.395368119476002	242.0	498.4	1774.0	197.37010187836	308.4670427512801	293.795047792148	110.33585105006	11.248570107051998	52.803090502524	166.66064148648002	61.666020586872	112.17362606755	69.76610066395999	603.5	110.78662605435	107.8392510263	120.28757614476999	19004.546976	21.623330205788	18.994965180774	51.29427245750401	75.5915007194	75.46514890543101	76.75	85.35068076126001	99.5172509471	317.9697530261	25165.853486248718	124.8	137.91816123012	89.28812584975	28.336410269675998	28.3339708013068	188.77024168368	94.83612590255	208.8	193.05038092087	173.40927833588398	168.181608446344	95.7030009108	539.6	102.163605841296	280.71568250376004	37.788585201531994
2019-05-21	127.09620089865999	420.62905259205	206.84424127463998	29.119886179446	146.50020103586	448.37100317029996	119.85	298.889368183092	135.10035095525498	192.72330136269	174.84390123626997	71.731935442035	131.011650926345	506.1672035789599	345.96072213192	219.40380155134	139.95	42.20370029840999	81.77400057819999	157.414951113035	39.20278024158	875.0	124.87860088297998	719.2	720.6	110.45	90693.50514368646	230.6	269.2	117.98969072709	13.068864580534502	60.49890042776999	592.0	73.87380052233999	298.291888186724	154.60830109318997	139.72664086103998	64.64304045707199	99.51480070363998	10.60290007497	285.6	146.64399660857103	92.03040065072	131.9471008131	332.2	35.206232216951996	90.45622055742	331.11540234122	107.96940076342	257.737933433246	58.75254041542199	263.40930186249	139.77810098832998	162.02340114562	300.20760212267993	301.94010213492993	213.0	131.704650931245	252.5	246.38581350225402	353.782842849402	50.963220360346	145.18350102654998	386.718927649188	218.71080154644	45.45692028012	274.0	7295.0	7736.0	33.1750767983332	232.195663588514	155.97215096115	79.86825056472499	29.592760182359996	105.95970074920999	50.10390035426999	6.4982040400439995	243.323728520868	26.930937165957	88.42680062523999	34.157184542363105	34.303500242549994	324.73980229614	318.85	322.3	626.1233148583709	1110.816637854259	36.500310258083	1093.5054977318568	1116.98	1120.55	134.92017095398097	646.167070981887	189.69489134127699	116.66655082491498	57.58385035485	221.44102365389	534.8	26.214434840646	20.986484872426	13.7324135846235	251.0	495.6	1825.0	197.78220139845996	309.19858190537997	295.37917320443	112.02345079208499	11.067210078253	53.43030037778999	171.45496105656	61.84332043727599	112.92435079845498	69.99300049489999	608.5	111.57300078889999	109.63260077517998	121.03245085578499	19190.352692	22.085910156163	19.424790137347	51.863600319599996	76.64580054193999	76.47743953510401	77.9	84.545295520995	99.44550070314999	320.51250226624995	25292.14978125245	124.0	136.98092084412	89.60490063357	28.232820199625998	28.178650328705803	188.31063116043	95.322150673995	207.8	193.06072382641003	175.211008934916	171.62612895670802	97.36650068844999	560.8	103.476066870983	289.13957178177003	38.089349768459996
2019-05-22	126.95089085963001	418.89225465374994	207.8011623086	29.01259232232	147.01038099546	440.47586298262	121.15	300.732323681522	136.39065092355	191.36337129579	173.10854117218	73.06705081175	131.879000893	509.12235344745	349.34466388109996	217.80858147486	156.4	42.40951028717	82.52849055883	157.66481606760502	40.0912404454	885.6	124.417425842475	725.8	732.6	111.1	90874.93063015355	235.5	267.4	117.90191130984998	13.029653144754999	60.24788040796	604.0	77.0451005217	298.491953750942	154.36784104528002	139.93679155465	67.147234454678	98.59690566763501	10.699551572450499	285.2	148.013773413652	92.97469562956499	133.08914647857497	336.1	36.25043840273	89.97576099959998	331.84921224707	106.64152472210799	259.80823294959396	58.720860397619994	263.89682178694	138.95882094094	161.7253010951	299.99002203134	301.65586204262	213.0	133.787775905925	251.4	245.02179140776602	348.75091919362	50.127902339434	145.41395098465	387.733355985712	219.3356014852	46.150832512719994	275.4	7285.0	7732.0	33.4263193642536	233.74526275718	156.46295173824998	79.71738553979499	29.073800322999997	105.19085571228501	49.378274334358	6.717578074629999	239.943619565118	26.112863290105	88.49775059925	34.2739259879897	34.21913023171	327.33756221652004	320.45	323.1	626.777577963285	1107.5344255995128	36.558247247549	1090.597691384828	1127.66	1132.36	134.544344911048	646.76964118539	189.135310280703	153.3961010387	58.05578864497999	222.991487090396	536.0	26.4662367799184	20.544192263418598	13.297438147729999	259.5	497.7	1805.0	196.63853133151	295.86417328694995	293.264423912922	111.368345754115	10.716904072568	53.515110362369995	174.5958219397	61.0808004136	112.548315762105	68.57708046436	676.0	111.507165755055	108.45312573437499	122.682175830725	19102.162506	21.878032148144	19.4348001316	51.39941857103	76.90628052075999	76.62065162583599	76.65	84.77308094179999	97.13929565776499	315.1214021338	25291.68550431299	123.9	137.71800152999998	89.81654060818	28.187401190867	28.0942389294732	189.744802108	94.53642064014	208.6	193.04520901831	175.346286566728	169.82004073796398	96.20226065141999	569.4	104.139862273127	291.12055323425	38.086288819859995
2019-05-23	125.34712070277999	403.1790012098	192.85140057868	27.571005082731002	142.38932079832998	426.12456238914	115.4	300.75244883148	133.937780750945	184.05576103194002	165.06588092547	74.04390022218	130.7728007332	517.03948289887	356.4225010695	217.44456121914	159.05	42.08380023595	80.237460449865	153.20590085897499	43.882125131675004	882.2	124.268940696735	709.2	722.4	110.55	89265.37315465283	232.5	262.4	116.27805034891	12.1681875365125	59.09817633134399	600.6	76.063860426465	295.001781198	150.80608084552	132.6045003979	65.080336364884	98.70564055341	10.3609620580905	277.4	144.84960876798	91.95832051557998	130.68825039215	330.0	34.906410104742	91.59675027485001	321.71500180375	102.990536577434	250.56480403019998	58.01304032526	263.77152147888	137.17232076908	158.87504089076	295.35176165594004	296.39516166179	208.3	132.685700743925	250.8	237.8685248394	345.86158195644	49.70757627869399	145.72820081705	382.08331964783997	212.1580011895	47.538330142646004	269.5	6980.0	7390.0	32.158928350344	224.05198571999998	159.96855048001	78.15066043816499	27.394710082202003	104.82692058772999	48.914592274247994	6.599565019803	232.93938115356	25.056885075187	87.123900488475	32.902034102982	32.992308184977	319.976001794	323.9	320.0	613.529596840989	1085.9477712885512	36.637252205413	1068.6920219918038	1114.56	1118.62	131.67708073827	632.094226896695	185.44696103974002	154.77100086775	57.502830172546	222.85704179616	537.6	24.824960017775997	19.552269953832	12.202680036616	251.7	491.7	1770.0	193.51592108498	313.57515094093003	289.400481555	106.42680059669999	10.253144057486	52.197824292656	171.92595051589	60.684144340235996	111.64380062594999	68.02968038142	649.5	110.04392061697999	105.20950058987499	120.3388006747	18922.272527999998	21.375788119846998	18.962056106314	50.067780150236	74.15096041573999	73.93715528759999	82.55	79.33275023805001	97.070980544245	317.8892017823	24848.858896252797	124.4	137.011875411125	90.04542050485499	27.928340156584998	27.89447222214	178.28790053498	91.50618051304501	208.8	193.0581276954	170.05545716147998	163.25921359464	94.04512052727999	549.0	101.53289152878	285.9045008579	36.89389364856
2019-05-24	124.75586069946499	405.09525121555004	193.46460058052003	27.923595083789	141.83284079521	437.67152245388	107.55	298.73598096	134.911620756405	184.68180103545	165.76148092937	76.65000023	130.35544073086	518.9176029094	371.44590111458	217.44456121914	169.5	42.22292023673	80.34180045045	155.014460869115	44.188725132595	894.8	125.729700704925	712.2	724.8	112.8	89703.24541874496	232.3	260.0	117.849375353625	12.302325036915	60.962384341795996	604.4	73.281460410865	297.54103703616	150.38872084317998	132.22125039675	66.01244037011	99.95772056042999	10.837448060762	276.9	145.11100275132	93.036500521625	131.876325395715	329.4	33.603360100832006	95.27595028589	321.43676180219	104.68780058695	253.62684783504	57.24788032097	263.35416147654	137.93748077337	159.988000897	298.4124016731	300.15140168285	212.0	132.58136074333999	253.8	238.988784768	349.44641372795996	49.61019227814799	145.72820081705	381.33647969544	214.66216120354002	46.940460140852004	271.0	6830.0	7200.0	32.218675546536	224.20135371048	160.50510048162002	78.6028004407	27.754965083283	104.27044058461	48.865900273975	6.829515020493001	231.14696526779997	24.83460007452	87.36736048984	33.406151070852	33.3644541870635	316.77624177606	323.95	320.0	618.71880185656	1093.1465357289123	36.637252205413	1075.6967140310771	1119.51	1122.97	132.560492743223	637.0151569114611	186.678173046643	155.04924086931	57.932070173834	223.90261772952	545.2	25.011670005876	20.231894310516	12.355980037076002	248.8	495.9	1778.0	194.35064108965997	313.80510094162	292.3878413646	106.84416059904	10.176628057057	52.378680293669994	174.68535052417002	61.00412034203	112.443740630435	68.02968038142	649.0	110.6004006201	105.905100593775	119.6432006708	18947.884481999998	21.751412121953	19.254208107952	51.34017015405401	73.80316041379	73.87740809140799	80.15	79.33275023805001	97.94048054912001	321.08896180024	25024.366285066797	124.5	138.468225415495	90.601900507975	28.081372157443	28.140929406431997	178.51785053567002	92.16700051675	210.4	193.0581276954	170.87698110911998	164.75289349943998	95.471100535275	553.2	101.23415554782	293.87610088182	37.058198438088
2019-05-27	125.63661064854	405.3727020102	190.50218094468	27.786038137787997	141.50246073044	438.38564226296	108.4	298.976063743808	134.87716069624	184.18334095076	165.42328085391998	76.13190537752999	130.51841067374	513.35614264996	373.03484184984	217.44932112248	160.1	41.983480216720004	80.06152041328	155.5202008028	42.9128002128	899.6	126.02018065051999	712.2	720.8	112.7	90157.22910674446	231.0	260.8	118.16346058595998	12.180338560401	60.506424312336	599.4	74.4474503843	301.36607974176	150.56866077724	130.271000646	66.448272343008	100.28612051768	10.830622055908	276.2	145.566911875264	93.4516004824	132.26338065587998	324.8	34.161654169403995	96.78369047993999	323.10542166788	105.23766054324	257.6735997792	57.577344297216	265.01200136799997	137.35293070902	157.12422081108	298.62668154152	299.95174154836	196.4	134.00541069174	252.9	239.44972779481603	355.738943695168	50.68703226164801	146.1053007542	380.01254367436803	213.54388110232	48.307552239551995	270.7	6695.0	7030.0	32.3100287723136	223.839935808192	163.68168081168	78.52724040535999	27.441203136078002	104.22643053801998	49.334076254664	7.1265900353400005	233.47468779993602	24.736164122664	87.38422045108	33.9867743708768	33.907588175032	318.99076164663995	321.45	320.3	619.254696070818	1093.685002445635	36.732058189612	1076.1300495550158	1111.52	1114.78	132.568766684324	637.086497159244	186.770694964116	155.45046080244	57.794346286595996	223.242431808704	540.4	25.3117631783104	20.427167982495998	11.563467057341999	248.9	491.0	1736.0	195.34174100836	333.57039165414	292.77695974912	105.51662054468001	10.21691005274	52.51422027108	177.78160088159999	60.827228313991995	112.90906058284	67.78728034992	644.0	110.74712057168	105.90019054666	120.33637062118001	18851.515836000002	21.940204113256	19.450486100404	50.146672248672	74.27310038339999	73.8963071366784	81.4	78.1626003876	98.05444050615999	322.54750166499997	25125.341930470146	124.1	138.89187568875	90.69687046818001	28.321414146196	28.232063975808	178.9310508873	92.47524047735999	211.2	193.06847983456	171.558335852992	164.612351858944	94.95101049014	554.2	101.7623999128	295.33202146452	36.821183968448
2019-05-28	125.14873159290002	401.3528958468	193.52590782497998	27.856351372661997	141.22929487020002	443.54388448344	110.65	298.93011232962	134.86698505179	184.92647768895003	166.46878766631002	73.85047058637	130.46230902366003	511.7814051732001	371.52053500607997	214.92022397574002	165.1	42.858196908630006	80.64752061028501	155.24735111845504	44.40254738535	902.8	125.11377384664502	721.0	722.6	112.5	89858.7205072221	229.1	261.4	118.0223553879	12.540355807013999	62.44851790993201	613.8	74.32016853813	299.67725082582	152.06619620925002	130.59346620609	66.41971788450002	99.80436555802501	11.039656267329	275.0	143.52530512002002	93.51197123212502	132.2465480568	327.2	34.076552383008	97.57027295586	321.40151906847007	106.20163312269003	254.62479950495998	57.65231512374601	264.83988562788005	136.859576588325	155.49205534224004	297.14084316750007	297.42050513754003	193.35	134.76211181302503	253.5	238.78546338552002	356.31034883778	50.548901084730005	146.47295680845002	376.85665748328	215.89904087088004	47.424227233392	277.4	6855.0	7216.0	31.095904211844	225.11282890505998	164.07798462396	77.99073189490501	25.726566848724	104.24399933241001	48.87092926449001	7.0006094189370005	233.40606621288	24.434856379332	88.93250647272002	33.778131413202	33.751704009202506	323.84856130632005	323.2	321.3	618.5601622773	1094.2578605978867	36.824489905017	1077.11807760906	1123.86	1127.7	132.65066393922302	636.659486354376	186.86313683147702	155.56197083475	57.97319606676	220.18171483013998	548.8	25.320523636218	19.94859784854	12.421180138707001	252.3	490.3	1756.0	193.73582974521005	325.6186808259	293.77485670584	105.88701340639501	9.214861912818002	52.045092624444	179.1479401002	60.602748907668015	113.36797110496502	66.93709252907401	672.0	111.34042182217502	106.79591480902502	121.79278795242001	18698.947275	22.009397042148002	19.436506917780004	50.530483362168	71.94304179279001	71.770123944972	82.0	78.34839097086001	97.04270360388003	316.9269275478301	25020.62224384332	125.6	137.78245006848	92.32340785945502	28.308782917299006	28.256777926284002	180.07059043548	92.35836560571	211.2	193.13530126770002	168.62915859234002	166.46245695336	96.48337966380001	572.0	101.19990931029	293.40280661904	36.46035861456
